,type,id,attributes_count,attributes.lineage,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.hierarchy.class,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.kingdom,attributes.hierarchy.species,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
10,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,Porphyromonadaceae,Tannerella,Bacteroidia,Bacteroidales,Bacteroidetes,Bacteria,,Bacteria,Tannerella,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ATannerella,MGYA00005292,17680.0,99.915230291,6894.0,38.9601582368,6890.0,38.9375529811,6890.0,38.9573674093,3790.0,22.9058382691,2.0,0.014833494,,
11,organisms,Bacteria:Proteobacteria:Deltaproteobacteria:Desulfovibrionales:Desulfovibrionaceae:Desulfovibrio,7,Bacteria:Proteobacteria:Deltaproteobacteria:Desulfovibrionales:Desulfovibrionaceae:Desulfovibrio,Desulfovibrionaceae,Desulfovibrio,Deltaproteobacteria,Desulfovibrionales,Proteobacteria,Bacteria,,Bacteria,Desulfovibrio,Desulfovibrionaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ADeltaproteobacteria%253ADesulfovibrionales%253ADesulfovibrionaceae%253ADesulfovibrio,MGYA00005292,17680.0,99.915230291,1116.0,6.3068663464,12.0,0.0678157672,12.0,0.0678502771,12.0,0.0725250816,7.0,0.0519172291,,
12,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Paraprevotellaceae:CF231,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Paraprevotellaceae:CF231,Paraprevotellaceae,CF231,Bacteroidia,Bacteroidales,Bacteroidetes,Bacteria,,Bacteria,CF231,Paraprevotellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AParaprevotellaceae%253ACF231,MGYA00005292,17680.0,99.915230291,6894.0,38.9601582368,6890.0,38.9375529811,6890.0,38.9573674093,26.0,0.1571376768,2.0,0.014833494,,
13,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Micrococcaceae:Nesterenkonia,2,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Micrococcaceae:Nesterenkonia,Micrococcaceae,Nesterenkonia,Actinobacteria,Actinomycetales,Actinobacteria,Bacteria,,Bacteria,Nesterenkonia,Micrococcaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253AMicrococcaceae%253ANesterenkonia,MGYA00005292,17680.0,99.915230291,1021.0,5.769991523,1002.0,5.6626165583,18.0,0.1017754156,2.0,0.0120875136,2.0,0.014833494,,
14,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae,24,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae,Bacteroidaceae,,Bacteroidia,Bacteroidales,Bacteroidetes,Bacteria,,Bacteria,Bacteroidaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ABacteroidaceae,MGYA00005292,17680.0,99.915230291,6894.0,38.9601582368,6890.0,38.9375529811,6890.0,38.9573674093,2472.0,14.9401668077,,,,
15,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Megamonas,31,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Megamonas,Veillonellaceae,Megamonas,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Megamonas,Veillonellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253AMegamonas,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,1201.0,7.2585519159,31.0,0.2299191575,,
16,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus,1,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus,Pasteurellaceae,Haemophilus,Gammaproteobacteria,Pasteurellales,Proteobacteria,Bacteria,,Bacteria,Haemophilus,Pasteurellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253APasteurellales%253APasteurellaceae%253AHaemophilus,MGYA00005292,17680.0,99.915230291,1116.0,6.3068663464,93.0,0.5255721955,12.0,0.0678502771,12.0,0.0725250816,8.0,0.0593339761,,
17,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,112,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,Lachnospiraceae,Ruminococcus,Clostridia,Clostridiales,Firmicutes,Bacteria,gnavus,Bacteria,gnavus,Ruminococcus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ARuminococcus%253Agnavus,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,3965.0,23.9634957089,326.0,2.4178595268,112.0,4.8695652174
18,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succiniclasticum,2,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succiniclasticum,Veillonellaceae,Succiniclasticum,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Succiniclasticum,Veillonellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253ASucciniclasticum,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,1201.0,7.2585519159,2.0,0.014833494,,
19,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Epulopiscium,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Epulopiscium,Lachnospiraceae,Epulopiscium,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Epulopiscium,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AEpulopiscium,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,3965.0,23.9634957089,1.0,0.007416747,,
20,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Corynebacteriaceae:Corynebacterium,8,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Corynebacteriaceae:Corynebacterium,Corynebacteriaceae,Corynebacterium,Actinobacteria,Actinomycetales,Actinobacteria,Bacteria,,Bacteria,Corynebacterium,Corynebacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253ACorynebacteriaceae%253ACorynebacterium,MGYA00005292,17680.0,99.915230291,1021.0,5.769991523,1002.0,5.6626165583,18.0,0.1017754156,8.0,0.0483500544,8.0,0.0593339761,,
21,organisms,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae,1,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae,Bacillaceae,,Bacilli,Bacillales,Firmicutes,Bacteria,,Bacteria,Bacillaceae,Bacillales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ABacillales%253ABacillaceae,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,79.0,0.4464538005,2.0,0.0113083795,1.0,0.0060437568,,,,
22,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae,1464,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae,Lachnospiraceae,,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Lachnospiraceae,Clostridiales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,3965.0,23.9634957089,,,,
23,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium:breve,3,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium:breve,Bifidobacteriaceae,Bifidobacterium,Actinobacteria,Bifidobacteriales,Actinobacteria,Bacteria,breve,Bacteria,breve,Bifidobacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae%253ABifidobacterium%253Abreve,MGYA00005292,17680.0,99.915230291,1021.0,5.769991523,1002.0,5.6626165583,984.0,5.5637227185,984.0,5.9470566904,916.0,6.7937402655,3.0,0.1304347826
24,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Veillonella:dispar,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Veillonella:dispar,Veillonellaceae,Veillonella,Clostridia,Clostridiales,Firmicutes,Bacteria,dispar,Bacteria,dispar,Veillonella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253AVeillonella%253Adispar,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,1201.0,7.2585519159,15.0,0.1112512052,1.0,0.0434782609
25,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,23,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,Lachnospiraceae,Shuttleworthia,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Shuttleworthia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AShuttleworthia,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,3965.0,23.9634957089,38.0,0.2818363866,,
26,organisms,Bacteria:Firmicutes:Bacilli:Gemellales:Gemellaceae,4,Bacteria:Firmicutes:Bacilli:Gemellales:Gemellaceae,Gemellaceae,,Bacilli,Gemellales,Firmicutes,Bacteria,,Bacteria,Gemellaceae,Gemellales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253AGemellales%253AGemellaceae,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,79.0,0.4464538005,4.0,0.022616759,4.0,0.0241750272,,,,
27,organisms,Bacteria:Actinobacteria:OPB41,2,Bacteria:Actinobacteria:OPB41,,,OPB41,,Actinobacteria,Bacteria,,Bacteria,OPB41,Actinobacteria,class,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AOPB41,MGYA00005292,17680.0,99.915230291,1021.0,5.769991523,2.0,0.0113026279,,,,,,,,
28,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Eubacterium:biforme,5,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Eubacterium:biforme,Erysipelotrichaceae,Eubacterium,Erysipelotrichi,Erysipelotrichales,Firmicutes,Bacteria,biforme,Bacteria,biforme,Eubacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253AEubacterium%253Abiforme,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,101.0,0.570782707,101.0,0.5710731652,101.0,0.6104194367,13.0,0.0964177112,5.0,0.2173913043
29,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succinispira:mobilis,5,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succinispira:mobilis,Veillonellaceae,Succinispira,Clostridia,Clostridiales,Firmicutes,Bacteria,mobilis,Bacteria,mobilis,Succinispira,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253ASuccinispira%253Amobilis,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,1201.0,7.2585519159,5.0,0.0370837351,5.0,0.2173913043
30,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,135,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,Prevotellaceae,Prevotella,Bacteroidia,Bacteroidales,Bacteroidetes,Bacteria,copri,Bacteria,copri,Prevotella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae%253APrevotella%253Acopri,MGYA00005292,17680.0,99.915230291,6894.0,38.9601582368,6890.0,38.9375529811,6890.0,38.9573674093,180.0,1.0878762239,195.0,1.4462656679,135.0,5.8695652174
31,organisms,Bacteria:Proteobacteria:Betaproteobacteria:SBla14,5,Bacteria:Proteobacteria:Betaproteobacteria:SBla14,,,Betaproteobacteria,SBla14,Proteobacteria,Bacteria,,Bacteria,SBla14,Betaproteobacteria,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253ASBla14,MGYA00005292,17680.0,99.915230291,1116.0,6.3068663464,981.0,5.5439389658,5.0,0.0282709488,,,,,,
32,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,414,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,Lachnospiraceae,Blautia,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Blautia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ABlautia,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,3965.0,23.9634957089,451.0,3.3449529037,,
33,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales,987,Bacteria:Firmicutes:Clostridia:Clostridiales,,,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Clostridiales,Clostridia,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,,,,,,
34,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia:obeum,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia:obeum,Lachnospiraceae,Blautia,Clostridia,Clostridiales,Firmicutes,Bacteria,obeum,Bacteria,obeum,Blautia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ABlautia%253Aobeum,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,3965.0,23.9634957089,451.0,3.3449529037,3.0,0.1304347826
35,organisms,Bacteria:Cyanobacteria:Chloroplast:Streptophyta,1,Bacteria:Cyanobacteria:Chloroplast:Streptophyta,,,Chloroplast,Streptophyta,Cyanobacteria,Bacteria,,Bacteria,Streptophyta,Chloroplast,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ACyanobacteria%253AChloroplast%253AStreptophyta,MGYA00005292,17680.0,99.915230291,17.0,0.0960723368,1.0,0.0056513139,1.0,0.0056541898,,,,,,
36,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Eubacteriaceae:Pseudoramibacter_Eubacterium,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Eubacteriaceae:Pseudoramibacter_Eubacterium,Eubacteriaceae,Pseudoramibacter_Eubacterium,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Pseudoramibacter_Eubacterium,Eubacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AEubacteriaceae%253APseudoramibacter_Eubacterium,MGYA00005292,17680.0,99.915230291,8578.0,48.4769708957,8398.0,47.4597343882,8396.0,47.4725771797,1.0,0.0060437568,1.0,0.007416747,,
37,organisms,Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Coriobacteriaceae:Eggerthella,1,Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Coriobacteriaceae:Eggerthella,Coriobacteriaceae,Eggerthella,Coriobacteriia,Coriobacteriales,Actinobacteria,Bacteria,,Bacteria,Eggerthella,Coriobacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253ACoriobacteriia%253ACoriobacteriales%253ACoriobacteriaceae%253AEggerthella,MGYA00005292,17680.0,99.915230291,1021.0,5.769991523,17.0,0.0960723368,17.0,0.0961212258,17.0,0.1027438656,5.0,0.0370837351,,
38,organisms,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Cryomorphaceae,1,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Cryomorphaceae,Cryomorphaceae,,Flavobacteriia,Flavobacteriales,Bacteroidetes,Bacteria,,Bacteria,Cryomorphaceae,Flavobacteriales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253AFlavobacteriia%253AFlavobacteriales%253ACryomorphaceae,MGYA00005292,17680.0,99.915230291,6894.0,38.9601582368,4.0,0.0226052557,4.0,0.022616759,1.0,0.0060437568,,,,
