,type,id,attributes_count,attributes.lineage,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.family,attributes.hierarchy.class,attributes.hierarchy.kingdom,attributes.hierarchy.species,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
10,organisms,Bacteria:Proteobacteria:Deltaproteobacteria:Desulfovibrionales:Desulfovibrionaceae:Desulfovibrio,65,Bacteria:Proteobacteria:Deltaproteobacteria:Desulfovibrionales:Desulfovibrionaceae:Desulfovibrio,Desulfovibrionales,Proteobacteria,Desulfovibrionaceae,Deltaproteobacteria,Bacteria,,Desulfovibrio,Bacteria,Desulfovibrio,Desulfovibrionaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ADeltaproteobacteria%253ADesulfovibrionales%253ADesulfovibrionaceae%253ADesulfovibrio,MGYA00005314,11942.0,98.1184783502,489.0,4.0177471038,124.0,1.0188152165,124.0,1.0190664037,124.0,1.3553393814,68.0,1.1511765702,,
11,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,1,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,Bacteroidales,Bacteroidetes,Rikenellaceae,Bacteroidia,Bacteria,,Blvii28,Bacteria,Blvii28,Rikenellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARikenellaceae%253ABlvii28,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,5276.0,43.3489442117,5276.0,43.3596318212,933.0,10.1978358291,1.0,0.0169290672,,
12,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:AF12,1,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:AF12,Bacteroidales,Bacteroidetes,Rikenellaceae,Bacteroidia,Bacteria,,AF12,Bacteria,AF12,Rikenellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARikenellaceae%253AAF12,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,5276.0,43.3489442117,5276.0,43.3596318212,933.0,10.1978358291,1.0,0.0169290672,,
13,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,42,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,gnavus,Ruminococcus,Bacteria,gnavus,Ruminococcus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ARuminococcus%253Agnavus,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,1068.0,11.6734069297,342.0,5.7897409853,42.0,2.6700572155
14,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:eggerthii,4,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:eggerthii,Bacteroidales,Bacteroidetes,Bacteroidaceae,Bacteroidia,Bacteria,eggerthii,Bacteroides,Bacteria,eggerthii,Bacteroides,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ABacteroidaceae%253ABacteroides%253Aeggerthii,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,5276.0,43.3489442117,5276.0,43.3596318212,2130.0,23.2812329216,2114.0,35.7880480786,4.0,0.2542911634
15,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Clostridium:celatum,2,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Clostridium:celatum,Clostridiales,Firmicutes,Clostridiaceae,Clostridia,Bacteria,celatum,Clostridium,Bacteria,celatum,Clostridium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253AClostridium%253Acelatum,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,168.0,1.8362662586,65.0,1.1003893685,2.0,0.1271455817
16,organisms,Bacteria:Lentisphaerae:Lentisphaeria:Victivallales:Victivallaceae:Victivallis:vadensis,1,Bacteria:Lentisphaerae:Lentisphaeria:Victivallales:Victivallaceae:Victivallis:vadensis,Victivallales,Lentisphaerae,Victivallaceae,Lentisphaeria,Bacteria,vadensis,Victivallis,Bacteria,vadensis,Victivallis,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ALentisphaerae%253ALentisphaeria%253AVictivallales%253AVictivallaceae%253AVictivallis%253Avadensis,MGYA00005314,11942.0,98.1184783502,6.0,0.0492975105,6.0,0.0492975105,6.0,0.0493096647,6.0,0.0655809378,1.0,0.0169290672,1.0,0.0635727908
17,organisms,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae,2,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae,Bacillales,Firmicutes,Bacillaceae,Bacilli,Bacteria,,,Bacteria,Bacillaceae,Bacillales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ABacillales%253ABacillaceae,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,20.0,0.1643250349,4.0,0.0328731098,2.0,0.0218603126,,,,
18,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae,625,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,,,Bacteria,Lachnospiraceae,Clostridiales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,1068.0,11.6734069297,,,,
19,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,,Shuttleworthia,Bacteria,Shuttleworthia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AShuttleworthia,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,1068.0,11.6734069297,3.0,0.0507872016,,
20,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:nanceiensis,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:nanceiensis,Bacteroidales,Bacteroidetes,Prevotellaceae,Bacteroidia,Bacteria,nanceiensis,Prevotella,Bacteria,nanceiensis,Prevotella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae%253APrevotella%253Ananceiensis,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,5276.0,43.3489442117,5276.0,43.3596318212,178.0,1.9455678216,184.0,3.1149483663,2.0,0.1271455817
21,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,111,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,Bacteroidales,Bacteroidetes,Prevotellaceae,Bacteroidia,Bacteria,copri,Prevotella,Bacteria,copri,Prevotella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae%253APrevotella%253Acopri,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,5276.0,43.3489442117,5276.0,43.3596318212,178.0,1.9455678216,184.0,3.1149483663,111.0,7.0565797839
22,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,43,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,,Blautia,Bacteria,Blautia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ABlautia,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,1068.0,11.6734069297,46.0,0.7787370916,,
23,organisms,Bacteria:TM7:TM7-3:I025,1,Bacteria:TM7:TM7-3:I025,I025,TM7,,TM7-3,Bacteria,,,Bacteria,I025,TM7-3,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ATM7%253ATM7-3%253AI025,MGYA00005314,11942.0,98.1184783502,2.0,0.0164325035,2.0,0.0164325035,1.0,0.0082182774,,,,,,
24,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Aeromonadales:Aeromonadaceae,1,Bacteria:Proteobacteria:Gammaproteobacteria:Aeromonadales:Aeromonadaceae,Aeromonadales,Proteobacteria,Aeromonadaceae,Gammaproteobacteria,Bacteria,,,Bacteria,Aeromonadaceae,Aeromonadales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AAeromonadales%253AAeromonadaceae,MGYA00005314,11942.0,98.1184783502,489.0,4.0177471038,195.0,1.6021690905,1.0,0.0082182774,1.0,0.0109301563,,,,
25,organisms,Bacteria:Bacteroidetes:Saprospirae:Saprospirales:Chitinophagaceae:Chitinophaga,1,Bacteria:Bacteroidetes:Saprospirae:Saprospirales:Chitinophagaceae:Chitinophaga,Saprospirales,Bacteroidetes,Chitinophagaceae,Saprospirae,Bacteria,,Chitinophaga,Bacteria,Chitinophaga,Chitinophagaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ASaprospirae%253ASaprospirales%253AChitinophagaceae%253AChitinophaga,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,1.0,0.0082162517,1.0,0.0082182774,1.0,0.0109301563,1.0,0.0169290672,,
26,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales,2585,Bacteria:Firmicutes:Clostridia:Clostridiales,Clostridiales,Firmicutes,,Clostridia,Bacteria,,,Bacteria,Clostridiales,Clostridia,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,,,,,,
27,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Yersinia,1,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Yersinia,Enterobacteriales,Proteobacteria,Enterobacteriaceae,Gammaproteobacteria,Bacteria,,Yersinia,Bacteria,Yersinia,Enterobacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AYersinia,MGYA00005314,11942.0,98.1184783502,489.0,4.0177471038,195.0,1.6021690905,188.0,1.5450361604,188.0,2.0548693846,1.0,0.0169290672,,
28,organisms,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Flavobacteriaceae:Krokinobacter:genikus,6,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Flavobacteriaceae:Krokinobacter:genikus,Flavobacteriales,Bacteroidetes,Flavobacteriaceae,Flavobacteriia,Bacteria,genikus,Krokinobacter,Bacteria,genikus,Krokinobacter,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253AFlavobacteriia%253AFlavobacteriales%253AFlavobacteriaceae%253AKrokinobacter%253Agenikus,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,7.0,0.0575137622,7.0,0.0575279421,7.0,0.0765110941,6.0,0.1015744033,6.0,0.3814367451
29,organisms,Bacteria:Firmicutes:Clostridia,2,Bacteria:Firmicutes:Clostridia,,Firmicutes,,Clostridia,Bacteria,,,Bacteria,Clostridia,Firmicutes,class,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,,,,,,,,
30,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Aggregatibacter,2,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Aggregatibacter,Pasteurellales,Proteobacteria,Pasteurellaceae,Gammaproteobacteria,Bacteria,,Aggregatibacter,Bacteria,Aggregatibacter,Pasteurellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253APasteurellales%253APasteurellaceae%253AAggregatibacter,MGYA00005314,11942.0,98.1184783502,489.0,4.0177471038,195.0,1.6021690905,4.0,0.0328731098,4.0,0.0437206252,2.0,0.0338581344,,
31,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Clostridium:intestinale,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Clostridium:intestinale,Clostridiales,Firmicutes,Clostridiaceae,Clostridia,Bacteria,intestinale,Clostridium,Bacteria,intestinale,Clostridium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253AClostridium%253Aintestinale,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,168.0,1.8362662586,65.0,1.1003893685,1.0,0.0635727908
32,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae,Clostridiales,Firmicutes,Tissierellaceae,Clostridia,Bacteria,,,Bacteria,Tissierellaceae,Clostridiales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ATissierellaceae,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,2.0,0.0218603126,,,,
33,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Dialister,8,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Dialister,Clostridiales,Firmicutes,Veillonellaceae,Clostridia,Bacteria,,Dialister,Bacteria,Dialister,Veillonellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253ADialister,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,24.0,0.2623237512,8.0,0.1354325377,,
34,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Rikenella,33,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Rikenella,Bacteroidales,Bacteroidetes,Rikenellaceae,Bacteroidia,Bacteria,,Rikenella,Bacteria,Rikenella,Rikenellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARikenellaceae%253ARikenella,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,5276.0,43.3489442117,5276.0,43.3596318212,933.0,10.1978358291,33.0,0.5586592179,,
35,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus:parainfluenzae,1,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus:parainfluenzae,Pasteurellales,Proteobacteria,Pasteurellaceae,Gammaproteobacteria,Bacteria,parainfluenzae,Haemophilus,Bacteria,parainfluenzae,Haemophilus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253APasteurellales%253APasteurellaceae%253AHaemophilus%253Aparainfluenzae,MGYA00005314,11942.0,98.1184783502,489.0,4.0177471038,195.0,1.6021690905,4.0,0.0328731098,4.0,0.0437206252,1.0,0.0169290672,1.0,0.0635727908
36,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:cc_115,2,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:cc_115,Erysipelotrichales,Firmicutes,Erysipelotrichaceae,Erysipelotrichi,Bacteria,,cc_115,Bacteria,cc_115,Erysipelotrichaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253Acc_115,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,14.0,0.1150275244,14.0,0.1150558843,14.0,0.1530221882,2.0,0.0338581344,,
37,organisms,Bacteria:Elusimicrobia:Elusimicrobia:Elusimicrobiales:Elusimicrobiaceae,2,Bacteria:Elusimicrobia:Elusimicrobia:Elusimicrobiales:Elusimicrobiaceae,Elusimicrobiales,Elusimicrobia,Elusimicrobiaceae,Elusimicrobia,Bacteria,,,Bacteria,Elusimicrobiaceae,Elusimicrobiales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AElusimicrobia%253AElusimicrobia%253AElusimicrobiales%253AElusimicrobiaceae,MGYA00005314,11942.0,98.1184783502,2.0,0.0164325035,2.0,0.0164325035,2.0,0.0164365549,2.0,0.0218603126,,,,
38,organisms,Archaea:Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobrevibacter,223,Archaea:Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobrevibacter,Methanobacteriales,Euryarchaeota,Methanobacteriaceae,Methanobacteria,Archaea,,Methanobrevibacter,Archaea,Methanobrevibacter,Methanobacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Archaea%253AEuryarchaeota%253AMethanobacteria%253AMethanobacteriales%253AMethanobacteriaceae%253AMethanobrevibacter,MGYA00005314,229.0,1.8815216498,229.0,1.8815216498,225.0,1.8486566428,225.0,1.849112426,225.0,2.4592851678,225.0,3.8090401219,,
