,type,id,attributes_count,attributes.lineage,attributes.hierarchy.class,attributes.hierarchy.phylum,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
10,organisms,Bacteria:Tenericutes:Mollicutes:Acholeplasmatales:Acholeplasmataceae:Acholeplasma,2,Bacteria:Tenericutes:Mollicutes:Acholeplasmatales:Acholeplasmataceae:Acholeplasma,Mollicutes,Tenericutes,Bacteria,Acholeplasmatales,Bacteria,Acholeplasma,Acholeplasmataceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ATenericutes%253AMollicutes%253AAcholeplasmatales%253AAcholeplasmataceae%253AAcholeplasma,Acholeplasmataceae,Acholeplasma,,MGYA00005330,28933.0,99.9930879558,3.0,0.0103680664,3.0,0.0103680664,2.0,0.0069141948,2.0,0.007117691,2.0,0.0082348582,,
11,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Paraprevotellaceae:YRC22,7,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Paraprevotellaceae:YRC22,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,YRC22,Paraprevotellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AParaprevotellaceae%253AYRC22,Paraprevotellaceae,YRC22,,MGYA00005330,28933.0,99.9930879558,16366.0,56.5612579921,16365.0,56.5578019699,16365.0,56.5753992948,1207.0,4.2955265312,7.0,0.0288220035,,
12,organisms,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,7,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,Bacilli,Firmicutes,Bacteria,Turicibacterales,Bacteria,Turicibacter,Turicibacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ATuricibacterales%253ATuricibacteraceae%253ATuricibacter,Turicibacteraceae,Turicibacter,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,201.0,0.6946604458,7.0,0.0241996819,7.0,0.0249119186,7.0,0.0288220035,,
13,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae,4,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae,Actinobacteria,Actinobacteria,Bacteria,Bifidobacteriales,Bacteria,Bifidobacteriaceae,Bifidobacteriales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae,Bifidobacteriaceae,,,MGYA00005330,28933.0,99.9930879558,179.0,0.6186279592,96.0,0.3317781234,88.0,0.304224573,88.0,0.3131784049,,,,
14,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Holdemania,5,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Holdemania,Erysipelotrichi,Firmicutes,Bacteria,Erysipelotrichales,Bacteria,Holdemania,Erysipelotrichaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253AHoldemania,Erysipelotrichaceae,Holdemania,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,824.0,2.8477622257,824.0,2.8486482749,824.0,2.9324887007,5.0,0.0205871454,,
15,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,4,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Blvii28,Rikenellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARikenellaceae%253ABlvii28,Rikenellaceae,Blvii28,,MGYA00005330,28933.0,99.9930879558,16366.0,56.5612579921,16365.0,56.5578019699,16365.0,56.5753992948,11.0,0.0391473006,4.0,0.0164697163,,
16,organisms,Bacteria:Firmicutes:Bacilli:Bacillales:Planococcaceae,4,Bacteria:Firmicutes:Bacilli:Bacillales:Planococcaceae,Bacilli,Firmicutes,Bacteria,Bacillales,Bacteria,Planococcaceae,Bacillales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ABacillales%253APlanococcaceae,Planococcaceae,,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,201.0,0.6946604458,13.0,0.0449422665,7.0,0.0249119186,,,,
17,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,105,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,gnavus,Ruminococcus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ARuminococcus%253Agnavus,Lachnospiraceae,Ruminococcus,gnavus,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,5177.0,18.4241432079,366.0,1.5069790423,105.0,0.9682773884
18,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succiniclasticum,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succiniclasticum,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Succiniclasticum,Veillonellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253ASucciniclasticum,Veillonellaceae,Succiniclasticum,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,1754.0,6.2422150254,1.0,0.0041174291,,
19,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:eggerthii,1,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:eggerthii,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,eggerthii,Bacteroides,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ABacteroidaceae%253ABacteroides%253Aeggerthii,Bacteroidaceae,Bacteroides,eggerthii,MGYA00005330,28933.0,99.9930879558,16366.0,56.5612579921,16365.0,56.5578019699,16365.0,56.5753992948,3837.0,13.6552902239,3824.0,15.7450487915,1.0,0.0092216894
20,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Corynebacteriaceae:Corynebacterium,1,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Corynebacteriaceae:Corynebacterium,Actinobacteria,Actinobacteria,Bacteria,Actinomycetales,Bacteria,Corynebacterium,Corynebacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253ACorynebacteriaceae%253ACorynebacterium,Corynebacteriaceae,Corynebacterium,,MGYA00005330,28933.0,99.9930879558,179.0,0.6186279592,96.0,0.3317781234,8.0,0.0276567794,1.0,0.0035588455,1.0,0.0041174291,,
21,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae,2078,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Lachnospiraceae,Clostridiales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae,Lachnospiraceae,,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,5177.0,18.4241432079,,,,
22,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,10,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Shuttleworthia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AShuttleworthia,Lachnospiraceae,Shuttleworthia,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,5177.0,18.4241432079,20.0,0.0823485815,,
23,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:nanceiensis,72,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:nanceiensis,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,nanceiensis,Prevotella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae%253APrevotella%253Ananceiensis,Prevotellaceae,Prevotella,nanceiensis,MGYA00005330,28933.0,99.9930879558,16366.0,56.5612579921,16365.0,56.5578019699,16365.0,56.5753992948,10719.0,38.1472650272,11833.0,48.7215382715,72.0,0.6639616378
24,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Prevotellaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae,Prevotellaceae,,,MGYA00005330,28933.0,99.9930879558,16366.0,56.5612579921,16365.0,56.5578019699,16365.0,56.5753992948,10719.0,38.1472650272,,,,
25,organisms,Bacteria:Cyanobacteria:ML635J-21,1,Bacteria:Cyanobacteria:ML635J-21,ML635J-21,Cyanobacteria,Bacteria,,Bacteria,ML635J-21,Cyanobacteria,class,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ACyanobacteria%253AML635J-21,,,,MGYA00005330,28933.0,99.9930879558,6.0,0.0207361327,1.0,0.0034560221,,,,,,,,
26,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Eubacterium:biforme,231,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Eubacterium:biforme,Erysipelotrichi,Firmicutes,Bacteria,Erysipelotrichales,Bacteria,biforme,Eubacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253AEubacterium%253Abiforme,Erysipelotrichaceae,Eubacterium,biforme,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,824.0,2.8477622257,824.0,2.8486482749,824.0,2.9324887007,263.0,1.0828838473,231.0,2.1302102545
27,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,6791,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,copri,Prevotella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae%253APrevotella%253Acopri,Prevotellaceae,Prevotella,copri,MGYA00005330,28933.0,99.9930879558,16366.0,56.5612579921,16365.0,56.5578019699,16365.0,56.5753992948,10719.0,38.1472650272,11833.0,48.7215382715,6791.0,62.6244928071
28,organisms,Bacteria:Firmicutes:Bacilli:Gemellales:Gemellaceae:Gemella,1,Bacteria:Firmicutes:Bacilli:Gemellales:Gemellaceae:Gemella,Bacilli,Firmicutes,Bacteria,Gemellales,Bacteria,Gemella,Gemellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253AGemellales%253AGemellaceae%253AGemella,Gemellaceae,Gemella,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,201.0,0.6946604458,3.0,0.0103712923,1.0,0.0035588455,1.0,0.0041174291,,
29,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,677,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Blautia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ABlautia,Lachnospiraceae,Blautia,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,5177.0,18.4241432079,785.0,3.2321818257,,
30,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Sharpea,6,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Sharpea,Erysipelotrichi,Firmicutes,Bacteria,Erysipelotrichales,Bacteria,Sharpea,Erysipelotrichaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253ASharpea,Erysipelotrichaceae,Sharpea,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,824.0,2.8477622257,824.0,2.8486482749,824.0,2.9324887007,6.0,0.0247045745,,
31,organisms,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae:Bacillus,1,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae:Bacillus,Bacilli,Firmicutes,Bacteria,Bacillales,Bacteria,Bacillus,Bacillaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ABacillales%253ABacillaceae%253ABacillus,Bacillaceae,Bacillus,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,201.0,0.6946604458,13.0,0.0449422665,1.0,0.0035588455,1.0,0.0041174291,,
32,organisms,Bacteria:Proteobacteria:Betaproteobacteria:Rhodocyclales:Rhodocyclaceae:CandidatusAccumulibacter,1,Bacteria:Proteobacteria:Betaproteobacteria:Rhodocyclales:Rhodocyclaceae:CandidatusAccumulibacter,Betaproteobacteria,Proteobacteria,Bacteria,Rhodocyclales,Bacteria,CandidatusAccumulibacter,Rhodocyclaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253ARhodocyclales%253ARhodocyclaceae%253ACandidatusAccumulibacter,Rhodocyclaceae,CandidatusAccumulibacter,,MGYA00005330,28933.0,99.9930879558,627.0,2.1669258683,565.0,1.952652497,16.0,0.0553135587,16.0,0.0569415282,1.0,0.0041174291,,
33,organisms,Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus,2,Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus,Bacilli,Firmicutes,Bacteria,Bacillales,Bacteria,Staphylococcus,Staphylococcaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ABacillales%253AStaphylococcaceae%253AStaphylococcus,Staphylococcaceae,Staphylococcus,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,201.0,0.6946604458,13.0,0.0449422665,3.0,0.0106765365,2.0,0.0082348582,,
34,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Anaerovibrio,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Anaerovibrio,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Anaerovibrio,Veillonellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253AAnaerovibrio,Veillonellaceae,Anaerovibrio,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,1754.0,6.2422150254,3.0,0.0123522872,,
35,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales,658,Bacteria:Firmicutes:Clostridia:Clostridiales,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Clostridiales,Clostridia,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales,,,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,,,,,,
36,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia:obeum,20,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia:obeum,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,obeum,Blautia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ABlautia%253Aobeum,Lachnospiraceae,Blautia,obeum,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,5177.0,18.4241432079,785.0,3.2321818257,20.0,0.1844337883
37,organisms,Bacteria:Cyanobacteria:Chloroplast:Streptophyta,4,Bacteria:Cyanobacteria:Chloroplast:Streptophyta,Chloroplast,Cyanobacteria,Bacteria,Streptophyta,Bacteria,Streptophyta,Chloroplast,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ACyanobacteria%253AChloroplast%253AStreptophyta,,,,MGYA00005330,28933.0,99.9930879558,6.0,0.0207361327,4.0,0.0138240885,4.0,0.0138283897,,,,,,
38,organisms,Bacteria:Proteobacteria:Alphaproteobacteria:Rhodospirillales:Acetobacteraceae,16,Bacteria:Proteobacteria:Alphaproteobacteria:Rhodospirillales:Acetobacteraceae,Alphaproteobacteria,Proteobacteria,Bacteria,Rhodospirillales,Bacteria,Acetobacteraceae,Rhodospirillales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AAlphaproteobacteria%253ARhodospirillales%253AAcetobacteraceae,Acetobacteraceae,,,MGYA00005330,28933.0,99.9930879558,627.0,2.1669258683,16.0,0.0552963539,16.0,0.0553135587,16.0,0.0569415282,,,,
