,type,id,attributes.samples-count,attributes.biome-name,attributes.lineage,relationships.samples.links.related,relationships.studies.links.related,relationships.genomes.links.related,relationships.children.links.related,links.self
10,biomes,root:Engineered:Bioremediation:Hydrocarbon,65,Hydrocarbon,root:Engineered:Bioremediation:Hydrocarbon,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon
11,biomes,root:Engineered:Bioremediation:Hydrocarbon:Benzene,0,Benzene,root:Engineered:Bioremediation:Hydrocarbon:Benzene,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene
12,biomes,root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor,2,Bioreactor,root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor
13,biomes,root:Engineered:Bioremediation:Metal,0,Metal,root:Engineered:Bioremediation:Metal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal
14,biomes,root:Engineered:Bioremediation:Persistent organic pollutants (POP),53,Persistent organic pollutants (POP),root:Engineered:Bioremediation:Persistent organic pollutants (POP),https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP)/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP)/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP)/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP)/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP)
15,biomes,root:Engineered:Bioremediation:Persistent organic pollutants (POP):Polycyclic aromatic hydrocarbons,0,Polycyclic aromatic hydrocarbons,root:Engineered:Bioremediation:Persistent organic pollutants (POP):Polycyclic aromatic hydrocarbons,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons
16,biomes,root:Engineered:Bioremediation:Terephthalate,0,Terephthalate,root:Engineered:Bioremediation:Terephthalate,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate
17,biomes,root:Engineered:Bioremediation:Terephthalate:Wastewater,92,Wastewater,root:Engineered:Bioremediation:Terephthalate:Wastewater,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater
18,biomes,root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated sludge,0,Activated sludge,root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated sludge,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge
19,biomes,root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor,4,Bioreactor,root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor
20,biomes,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives,0,Tetrachloroethylene and derivatives,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives
21,biomes,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Chloroethene,0,Chloroethene,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Chloroethene,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene
22,biomes,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Chloroethene:Bioreactor,0,Bioreactor,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Chloroethene:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor
23,biomes,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Tetrachloroethylene,0,Tetrachloroethylene,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Tetrachloroethylene,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene
24,biomes,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Tetrachloroethylene:Bioreactor,0,Bioreactor,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Tetrachloroethylene:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor
25,biomes,root:Engineered:Biotransformation,13,Biotransformation,root:Engineered:Biotransformation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation
26,biomes,root:Engineered:Biotransformation:Microbial enhanced oil recovery,8,Microbial enhanced oil recovery,root:Engineered:Biotransformation:Microbial enhanced oil recovery,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery
27,biomes,root:Engineered:Biotransformation:Microbial solubilization of coal,0,Microbial solubilization of coal,root:Engineered:Biotransformation:Microbial solubilization of coal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal
28,biomes,root:Engineered:Biotransformation:Mixed alcohol bioreactor,25,Mixed alcohol bioreactor,root:Engineered:Biotransformation:Mixed alcohol bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor
29,biomes,root:Engineered:Built environment,758,Built environment,root:Engineered:Built environment,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment
30,biomes,root:Engineered:Food production,387,Food production,root:Engineered:Food production,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production
31,biomes,root:Engineered:Food production:Dairy products,1829,Dairy products,root:Engineered:Food production:Dairy products,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products
32,biomes,root:Engineered:Food production:Fermented beverages,270,Fermented beverages,root:Engineered:Food production:Fermented beverages,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages
33,biomes,root:Engineered:Food production:Fermented seafood,26,Fermented seafood,root:Engineered:Food production:Fermented seafood,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood
34,biomes,root:Engineered:Food production:Fermented vegetables,395,Fermented vegetables,root:Engineered:Food production:Fermented vegetables,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables
35,biomes,root:Engineered:Food production:Silage fermentation,12,Silage fermentation,root:Engineered:Food production:Silage fermentation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation
