,type,id,attributes_count,attributes.lineage,attributes.hierarchy.class,attributes.hierarchy.phylum,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.genus,attributes.hierarchy.family,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
10,organisms,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,1,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,Bacilli,Firmicutes,Bacteria,Turicibacterales,Bacteria,Turicibacter,Turicibacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ATuricibacterales%253ATuricibacteraceae%253ATuricibacter,Turicibacter,Turicibacteraceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,35.0,0.0833948867,1.0,0.0023831653,1.0,0.0025473813,1.0,0.0031619554,,
11,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae,12,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae,Actinobacteria,Actinobacteria,Bacteria,Bifidobacteriales,Bacteria,Bifidobacteriaceae,Bifidobacteriales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae,,Bifidobacteriaceae,,MGYA00005319,41968.0,99.997617289,391.0,0.93164002,225.0,0.5361099859,213.0,0.5076142132,213.0,0.5425922152,,,,
12,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,38,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Tannerella,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ATannerella,Tannerella,Porphyromonadaceae,,MGYA00005319,41968.0,99.997617289,20474.0,48.7836260097,20468.0,48.7693297434,20468.0,48.7786277734,938.0,2.3894436519,38.0,0.1201543034,,
13,organisms,Bacteria:Proteobacteria:Deltaproteobacteria:Desulfovibrionales:Desulfovibrionaceae:Desulfovibrio,138,Bacteria:Proteobacteria:Deltaproteobacteria:Desulfovibrionales:Desulfovibrionaceae:Desulfovibrio,Deltaproteobacteria,Proteobacteria,Bacteria,Desulfovibrionales,Bacteria,Desulfovibrio,Desulfovibrionaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ADeltaproteobacteria%253ADesulfovibrionales%253ADesulfovibrionaceae%253ADesulfovibrio,Desulfovibrio,Desulfovibrionaceae,,MGYA00005319,41968.0,99.997617289,1714.0,4.0839667374,260.0,0.6195048726,260.0,0.6196229832,260.0,0.6623191359,139.0,0.4395117941,,
14,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,13,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Blvii28,Rikenellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARikenellaceae%253ABlvii28,Blvii28,Rikenellaceae,,MGYA00005319,41968.0,99.997617289,20474.0,48.7836260097,20468.0,48.7693297434,20468.0,48.7786277734,570.0,1.4520073365,13.0,0.0411054196,,
15,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae,4,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Bacteroidaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ABacteroidaceae,,Bacteroidaceae,,MGYA00005319,41968.0,99.997617289,20474.0,48.7836260097,20468.0,48.7693297434,20468.0,48.7786277734,15732.0,40.0754024862,,,,
16,organisms,Bacteria:Firmicutes:Bacilli:Bacillales:Planococcaceae,3,Bacteria:Firmicutes:Bacilli:Bacillales:Planococcaceae,Bacilli,Firmicutes,Bacteria,Bacillales,Bacteria,Planococcaceae,Bacillales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ABacillales%253APlanococcaceae,,Planococcaceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,35.0,0.0833948867,8.0,0.0190653226,4.0,0.0101895252,,,,
17,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,170,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,gnavus,Ruminococcus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ARuminococcus%253Agnavus,Ruminococcus,Lachnospiraceae,gnavus,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,8441.0,21.502445486,1299.0,4.1073800038,170.0,2.7300465714
18,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succiniclasticum,13,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succiniclasticum,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Succiniclasticum,Veillonellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253ASucciniclasticum,Succiniclasticum,Veillonellaceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,1482.0,3.7752190748,13.0,0.0411054196,,
19,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:eggerthii,36,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:eggerthii,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,eggerthii,Bacteroides,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ABacteroidaceae%253ABacteroides%253Aeggerthii,Bacteroides,Bacteroidaceae,eggerthii,MGYA00005319,41968.0,99.997617289,20474.0,48.7836260097,20468.0,48.7693297434,20468.0,48.7786277734,15732.0,40.0754024862,15620.0,49.3897426168,36.0,0.5781275092
20,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Epulopiscium,2,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Epulopiscium,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Epulopiscium,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AEpulopiscium,Epulopiscium,Lachnospiraceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,8441.0,21.502445486,2.0,0.0063239107,,
21,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Corynebacteriaceae:Corynebacterium,2,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Corynebacteriaceae:Corynebacterium,Actinobacteria,Actinobacteria,Bacteria,Actinomycetales,Bacteria,Corynebacterium,Corynebacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253ACorynebacteriaceae%253ACorynebacterium,Corynebacterium,Corynebacteriaceae,,MGYA00005319,41968.0,99.997617289,391.0,0.93164002,225.0,0.5361099859,12.0,0.0285979838,2.0,0.0050947626,2.0,0.0063239107,,
22,organisms,Bacteria:Synergistetes:Synergistia:Synergistales,2,Bacteria:Synergistetes:Synergistia:Synergistales,Synergistia,Synergistetes,Bacteria,Synergistales,Bacteria,Synergistales,Synergistia,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ASynergistetes%253ASynergistia%253ASynergistales,,,,MGYA00005319,41968.0,99.997617289,3.0,0.0071481331,3.0,0.0071481331,3.0,0.007149496,,,,,,
23,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae,3171,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Lachnospiraceae,Clostridiales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae,,Lachnospiraceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,8441.0,21.502445486,,,,
24,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Veillonella:dispar,6,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Veillonella:dispar,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,dispar,Veillonella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253AVeillonella%253Adispar,Veillonella,Veillonellaceae,dispar,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,1482.0,3.7752190748,14.0,0.0442673749,6.0,0.0963545849
25,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,23,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Shuttleworthia,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Shuttleworthia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AShuttleworthia,Shuttleworthia,Lachnospiraceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,8441.0,21.502445486,44.0,0.1391260355,,
26,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:nanceiensis,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:nanceiensis,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,nanceiensis,Prevotella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae%253APrevotella%253Ananceiensis,Prevotella,Prevotellaceae,nanceiensis,MGYA00005319,41968.0,99.997617289,20474.0,48.7836260097,20468.0,48.7693297434,20468.0,48.7786277734,1884.0,4.7992663542,1913.0,6.0488205907,2.0,0.032118195
27,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae,5,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Prevotellaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae,,Prevotellaceae,,MGYA00005319,41968.0,99.997617289,20474.0,48.7836260097,20468.0,48.7693297434,20468.0,48.7786277734,1884.0,4.7992663542,,,,
28,organisms,Bacteria:Actinobacteria:OPB41,1,Bacteria:Actinobacteria:OPB41,OPB41,Actinobacteria,Bacteria,,Bacteria,OPB41,Actinobacteria,class,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AOPB41,,,,MGYA00005319,41968.0,99.997617289,391.0,0.93164002,1.0,0.002382711,,,,,,,,
29,organisms,Bacteria:Proteobacteria:Betaproteobacteria:Burkholderiales:Comamonadaceae:Variovorax:paradoxus,1,Bacteria:Proteobacteria:Betaproteobacteria:Burkholderiales:Comamonadaceae:Variovorax:paradoxus,Betaproteobacteria,Proteobacteria,Bacteria,Burkholderiales,Bacteria,paradoxus,Variovorax,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253ABurkholderiales%253AComamonadaceae%253AVariovorax%253Aparadoxus,Variovorax,Comamonadaceae,paradoxus,MGYA00005319,41968.0,99.997617289,1714.0,4.0839667374,1036.0,2.4684886464,1017.0,2.4236791306,37.0,0.0942531078,1.0,0.0031619554,1.0,0.0160590975
30,organisms,Bacteria:Proteobacteria:Betaproteobacteria:Rhodocyclales:Rhodocyclaceae:Dok59,1,Bacteria:Proteobacteria:Betaproteobacteria:Rhodocyclales:Rhodocyclaceae:Dok59,Betaproteobacteria,Proteobacteria,Bacteria,Rhodocyclales,Bacteria,Dok59,Rhodocyclaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253ARhodocyclales%253ARhodocyclaceae%253ADok59,Dok59,Rhodocyclaceae,,MGYA00005319,41968.0,99.997617289,1714.0,4.0839667374,1036.0,2.4684886464,6.0,0.0142989919,6.0,0.0152842878,1.0,0.0031619554,,
31,organisms,Bacteria:Proteobacteria:Betaproteobacteria:Burkholderiales:Burkholderiaceae:Burkholderia,2,Bacteria:Proteobacteria:Betaproteobacteria:Burkholderiales:Burkholderiaceae:Burkholderia,Betaproteobacteria,Proteobacteria,Bacteria,Burkholderiales,Bacteria,Burkholderia,Burkholderiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253ABurkholderiales%253ABurkholderiaceae%253ABurkholderia,Burkholderia,Burkholderiaceae,,MGYA00005319,41968.0,99.997617289,1714.0,4.0839667374,1036.0,2.4684886464,1017.0,2.4236791306,6.0,0.0152842878,2.0,0.0063239107,,
32,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,1722,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:copri,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,copri,Prevotella,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APrevotellaceae%253APrevotella%253Acopri,Prevotella,Prevotellaceae,copri,MGYA00005319,41968.0,99.997617289,20474.0,48.7836260097,20468.0,48.7693297434,20468.0,48.7786277734,1884.0,4.7992663542,1913.0,6.0488205907,1722.0,27.6537658584
33,organisms,Bacteria:Firmicutes:Bacilli:Gemellales:Gemellaceae:Gemella,1,Bacteria:Firmicutes:Bacilli:Gemellales:Gemellaceae:Gemella,Bacilli,Firmicutes,Bacteria,Gemellales,Bacteria,Gemella,Gemellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253AGemellales%253AGemellaceae%253AGemella,Gemella,Gemellaceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,35.0,0.0833948867,1.0,0.0023831653,1.0,0.0025473813,1.0,0.0031619554,,
34,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,990,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Blautia,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ABlautia,Blautia,Lachnospiraceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,8441.0,21.502445486,1151.0,3.6394106115,,
35,organisms,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae:Bacillus,2,Bacteria:Firmicutes:Bacilli:Bacillales:Bacillaceae:Bacillus,Bacilli,Firmicutes,Bacteria,Bacillales,Bacteria,Bacillus,Bacillaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ABacillales%253ABacillaceae%253ABacillus,Bacillus,Bacillaceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,35.0,0.0833948867,8.0,0.0190653226,2.0,0.0050947626,2.0,0.0063239107,,
36,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ethanoligenens,2,Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ethanoligenens,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Ethanoligenens,Ruminococcaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ARuminococcaceae%253AEthanoligenens,Ethanoligenens,Ruminococcaceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,6470.0,16.4815569594,2.0,0.0063239107,,
37,organisms,Bacteria:Proteobacteria:Betaproteobacteria:MWH-UniP1,2,Bacteria:Proteobacteria:Betaproteobacteria:MWH-UniP1,Betaproteobacteria,Proteobacteria,Bacteria,MWH-UniP1,Bacteria,MWH-UniP1,Betaproteobacteria,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253AMWH-UniP1,,,,MGYA00005319,41968.0,99.997617289,1714.0,4.0839667374,1036.0,2.4684886464,2.0,0.0047663306,,,,,,
38,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales,2251,Bacteria:Firmicutes:Clostridia:Clostridiales,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Clostridiales,Clostridia,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales,,,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,,,,,,
39,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia:obeum,90,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia:obeum,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,obeum,Blautia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ABlautia%253Aobeum,Blautia,Lachnospiraceae,obeum,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,8441.0,21.502445486,1151.0,3.6394106115,90.0,1.4453187731
