,species_id,species,species_found,comment
32,881,Desulfovibrio vulgaris,Desulfovibrio vulgaris,Exact match
33,1694,Bifidobacterium pseudolongum,Bifidobacterium pseudolongum,Exact match
34,85831,Bacteroides acidifaciens,Bacteroides acidifaciens,Exact match
35,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,Exact match
36,1265,Ruminococcus flavefaciens,Ruminococcus flavefaciens,Exact match
37,82135,Atopobium vaginae,Atopobium vaginae,Exact match
38,823,Parabacteroides distasonis,Parabacteroides distasonis,Exact match
39,39486,Dorea formicigenerans,Dorea formicigenerans,Exact match
40,40519,Ruminococcus callidus,Ruminococcus callidus,Exact match
41,1681,Bifidobacterium bifidum,Bifidobacterium bifidum,Exact match
42,142586,Eubacterium dolichum,Eubacterium sp.,Not exact match
43,84026,Clostridium methylpentosum,Clostridium methylpentosum,Exact match
44,569,Hafnia alvei,Hafnia alvei,Exact match
45,571,Klebsiella oxytoca,Klebsiella oxytoca,Exact match
46,99656,Clostridium fimetarium,Clostridium fimetarium,Exact match
47,28052,Lachnospira pectinoschiza,Lachnospira pectinoschiza,Exact match
48,33039,Ruminococcus torques,Ruminococcus torques,Exact match
49,363265,Prevotella stercorea,Prevotella stercorea,Exact match
50,177972,Shuttleworthia satelles,Shuttleworthia satelles,Exact match
51,28116,Bacteroides ovatus,Bacteroides ovatus,Exact match
52,216816,Bifidobacterium longum,Bifidobacterium longum,Exact match
53,397865,Barnesiella viscericola,Barnesiella viscericola,Exact match
54,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Exact match
55,168384,Marvinbryantia formatexigens,Marvinbryantia formatexigens,Exact match
56,147206,Collinsella stercoris,Collinsella stercoris,Exact match
57,29581,Janthinobacterium lividum,Janthinobacterium lividum,Exact match
58,81476,Enterobacter pyrinus,Enterobacter pyrinus,Exact match
59,1685,Bifidobacterium breve,Bifidobacterium breve,Exact match
60,142586,Eubacterium biforme,Eubacterium sp.,Not exact match
61,78120,Succinispira mobilis,Succinispira mobilis,Exact match
62,151276,Bacteroides coprosuis,Bacteroides coprosuis,Exact match
63,341225,Clostridium saccharogumia,Clostridium saccharogumia,Exact match
64,574930,Parabacteroides gordonii,Parabacteroides gordonii,Exact match
65,68892,Streptococcus infantis,Streptococcus infantis,Exact match
66,97478,Lactobacillus mucosae,Lactobacillus mucosae,Exact match
67,40518,Ruminococcus bromii,Ruminococcus bromii,Exact match
68,1264,Ruminococcus albus,Ruminococcus albus,Exact match
69,69824,Clostridium cocleatum,Clostridium cocleatum,Exact match
70,550,Enterobacter cloacae,Enterobacter cloacae,Exact match
71,1960653,Clostridium ruminantium,Clostridium ruminantium,Exact match
72,501571,Butyricicoccus pullicaecorum,Butyricicoccus pullicaecorum,Exact match
73,582,Morganella morganii,Morganella morganii,Exact match
74,1336,Streptococcus equi,Streptococcus equi,Exact match
75,29523,Bacteroides coprophilus,Bacteroides sp.,Not exact match
76,94869,Clostridium gasigenes,Clostridium gasigenes,Exact match
77,79209,Desulfosporosinus meridiei,Desulfosporosinus meridiei,Exact match
78,150055,Streptococcus luteciae,'Streptococcus luteciae',Exact match
79,61015,Staphylococcus succinus,Staphylococcus succinus,Exact match
80,1280,Staphylococcus aureus,Staphylococcus aureus,Exact match
81,61592,Corynebacterium durum,Corynebacterium durum,Exact match
82,1409,Bacillus ginsengihumi,Bacillus sp.,Not exact match
83,41114,Actinobacillus parahaemolyticus,Actinobacillus sp.,Not exact match
84,626932,Alistipes indistinctus,Alistipes indistinctus,Exact match
85,1591,Lactobacillus zeae,Lactobacillus sp.,Not exact match
86,114628,Alkaliphilus transvaalensis,Alkaliphilus transvaalensis,Exact match
87,376804,Bacteroides barnesiae,Bacteroides barnesiae,Exact match
88,142586,Eubacterium cylindroides,Eubacterium sp.,Not exact match
89,84037,Syntrophococcus sucromutans,Syntrophococcus sucromutans,Exact match
90,626938,Succinatimonas hippei,Succinatimonas hippei,Exact match
91,408580,Bacillus coahuilensis,Bacillus coahuilensis,Exact match
92,265312,Alistipes massiliensis,Alistipes massiliensis,Exact match
93,1261,Peptostreptococcus anaerobius,Peptostreptococcus anaerobius,Exact match
94,36835,Clostridium colinum,Clostridium colinum,Exact match
95,43675,Rothia mucilaginosa,Rothia mucilaginosa,Exact match
96,28025,Bifidobacterium animalis,Bifidobacterium animalis,Exact match
97,337090,Chlorobium chlorochromatii,Chlorobium chlorochromatii,Exact match
98,69966,Macrococcus caseolyticus,Macrococcus caseolyticus,Exact match
99,180332,Robinsoniella peoriensis,Robinsoniella peoriensis,Exact match
100,44749,Sporobacter termitidis,Sporobacter termitidis,Exact match
101,1506,Clostridium metallolevans,Clostridium sp.,Not exact match
102,749906,gut metagenome,gut metagenome,Exact match
103,100886,Catenibacterium mitsuokai,Catenibacterium mitsuokai,Exact match
104,3654,Citrullus lanatus,Citrullus lanatus,Exact match
105,413502,Cronobacter turicensis,Cronobacter turicensis,Exact match
106,85961,Victoria amazonica,Victoria amazonica,Exact match
107,1492,Clostridium butyricum,Clostridium butyricum,Exact match
108,86664,Bacillus flexus,Bacillus flexus,Exact match
109,157228,Jeotgalicoccus psychrophilus,Jeotgalicoccus psychrophilus,Exact match
110,43354,Prauserella rugosa,Prauserella rugosa,Exact match
111,340118,Ruminofilibacter xylanolyticum,Ruminofilibacter xylanolyticum,Exact match
112,1598,Lactobacillus reuteri,Lactobacillus reuteri,Exact match
113,229549,Streptococcus minor,Streptococcus minor,Exact match
114,33970,Melissococcus plutonius,Melissococcus plutonius,Exact match
115,1580,Lactobacillus brevis,Lactobacillus brevis,Exact match
116,376470,Olivibacter sitiensis,Olivibacter sitiensis,Exact match
117,36834,Clostridium celatum,Clostridium celatum,Exact match
118,1556,Clostridium acidurici,Clostridium acidurici,Exact match
119,1328,Streptococcus anginosus,Streptococcus anginosus,Exact match
120,228899,Bacillus asahii,Bacillus asahii,Exact match
121,71999,Kocuria palustris,Kocuria palustris,Exact match
122,28133,Prevotella nigrescens,Prevotella nigrescens,Exact match
123,291645,Bacteroides nordii,Bacteroides nordii,Exact match
124,89152,Clostridium hiranonis,Clostridium hiranonis,Exact match
125,28124,Porphyromonas endodontalis,Porphyromonas endodontalis,Exact match
126,102148,Bulleidia moorei,Bulleidia moorei,Exact match
127,1219013,Rhodococcus equi,Rhodococcus equi NBRC 101255,Bad match
128,28901,Salmonella enterica,Salmonella enterica,Exact match
129,33072,Gloeobacter violaceus,Gloeobacter violaceus,Exact match
130,1633,Lactobacillus vaginalis,Lactobacillus vaginalis,Exact match
131,453817,Massilia aerolata,Massilia aerolata,Exact match
132,168695,Salinispora tropica,Salinispora tropica,Exact match
133,172901,Victivallis vadensis,Victivallis vadensis,Exact match
134,181675,Lactobacillus coleohominis,Lactobacillus coleohominis,Exact match
135,2704657,Bulleidia p-1630-c5,Bulleidia sp.,Not exact match
136,1493,Clostridium cellulovorans,Clostridium cellulovorans,Exact match
137,885,Desulfovibrio D168,Desulfovibrio sp.,Not exact match
138,1383,Atopobium rimae,Atopobium rimae,Exact match
139,124225,Brackiella oedipodis,Brackiella oedipodis,Exact match
140,1506,Clostridium maritimum,Clostridium sp.,Not exact match
141,147802,Lactobacillus iners,Lactobacillus iners,Exact match
142,1513,Clostridium tetani,Clostridium tetani,Exact match
143,68239,Streptomyces mirabilis,Streptomyces mirabilis,Exact match
144,558,Erwinia dispersa,Erwinia sp.,Not exact match
145,263474,Bacillus humi,Bacillus humi,Exact match
146,615,Serratia marcescens,Serratia marcescens,Exact match
147,1204385,Litorilinea aerophila,Litorilinea aerophila,Exact match
148,180311,Hespellia stercorisuis,Hespellia stercorisuis,Exact match
149,827,Campylobacter ureolyticus,Campylobacter ureolyticus,Exact match
150,166501,Thermobaculum terrenum,Thermobaculum terrenum,Exact match
151,630405,Cellulosibacter alkalithermophilus,Cellulosibacter alkalithermophilus,Exact match
152,40576,Xenorhabdus bovienii,Xenorhabdus bovienii,Exact match
153,1867933,Aggregatibacter pneumotropica,Aggregatibacter pneumotropica,Exact match
154,336988,Oenococcus kitaharae,Oenococcus kitaharae,Exact match
155,739,Aggregatibacter segnis,Aggregatibacter segnis,Exact match
156,264697,Bacillus muralis,Bacillus muralis,Exact match
157,471825,Haloplasma contractile,Haloplasma contractile,Exact match
158,703,Plesiomonas shigelloides,Plesiomonas shigelloides,Exact match
159,44001,Caldicellulosiruptor saccharolyticus,Caldicellulosiruptor saccharolyticus,Exact match
160,155618,Enterococcus haemoperoxidus,Enterococcus haemoperoxidus,Exact match
161,551989,Enterobacter arachidis,Enterobacter arachidis,Exact match
162,43263,Pseudomonas alcaligenes,Pseudomonas alcaligenes,Exact match
163,371674,Moryella indoligenes,Moryella indoligenes,Exact match
164,738,Haemophilus parasuis,Haemophilus parasuis,Exact match
165,309788,Lysinibacillus boronitolerans,Lysinibacillus boronitolerans,Exact match
166,415015,Proteiniborus ethanoligenes,Proteiniborus ethanoligenes,Exact match
167,3305,Zamia integrifolia,Zamia integrifolia,Exact match
168,1004498,Thiopilula aggregata,Thiopilula aggregata,Exact match
169,290110,Xenorhabdus budapestensis,Xenorhabdus budapestensis,Exact match
170,563,Escherichia blattae,Escherichia blattae,Exact match
171,28141,Cronobacter sakazakii,Cronobacter sakazakii,Exact match
172,548,Enterobacter aerogenes,Enterobacter aerogenes,Exact match
173,187330,Pseudoalteromonas porphyrae,Pseudoalteromonas porphyrae,Exact match
174,48256,Clostridium hungatei,Clostridium hungatei,Exact match
175,37734,Enterococcus casseliflavus,Enterococcus casseliflavus,Exact match
176,158836,Enterobacter hormaechei,Enterobacter hormaechei,Exact match
177,160434,Samsonia erythrinae,Samsonia erythrinae,Exact match
178,55214,Brenneria salicis,Brenneria salicis,Exact match
179,546,Citrobacter freundii,Citrobacter freundii,Exact match
180,9,Buchnera aphidicola,Buchnera aphidicola,Exact match
181,624,Shigella sonnei,Shigella sonnei,Exact match
182,64559,Aquamonas haywardensis,'Aquamonas haywardensis',Exact match
183,1905692,Trabulsiella farmeri,Trabulsiella sp.,Not exact match
184,29369,Clostridium sardiniense,Clostridium sardiniense,Exact match
185,43661,Shewanella benthica,Shewanella benthica,Exact match
186,1519,Clostridium tyrobutyricum,Clostridium tyrobutyricum,Exact match
187,42895,Enterobacter cowanii,Enterobacter sp.,Not exact match
188,44008,Enterococcus cecorum,Enterococcus cecorum,Exact match
189,51367,Salinivibrio costicola,Salinivibrio costicola,Exact match
190,374463,Baumannia cicadellinicola,Baumannia cicadellinicola str. Hc (Homalodisca coagulata),Bad match
191,796334,Erwinia oleae,Erwinia oleae,Exact match
192,172371,Alcanivorax venustensis,Alcanivorax venustensis,Exact match
193,82985,Pragia fontium,Pragia fontium,Exact match
194,577,Raoultella terrigena,Raoultella terrigena,Exact match
195,628,Xenorhabdus nematophila,Xenorhabdus nematophila,Exact match
196,574560,Photorhabdus temperata,Photorhabdus temperata,Exact match
197,40577,Xenorhabdus poinarii,Xenorhabdus poinarii,Exact match
198,562,Escherichia coli,Escherichia coli,Exact match
199,556,Erwinia chrysanthemi,Erwinia chrysanthemi,Exact match
200,549,Pantoea agglomerans,Pantoea agglomerans,Exact match
201,89584,Gluconacetobacter liquefaciens,Gluconacetobacter liquefaciens,Exact match
202,61652,Serratia rubidaea,Serratia rubidaea,Exact match
203,128785,Pseudoxanthomonas mexicana,Pseudoxanthomonas mexicana,Exact match
204,299767,Enterobacter ludwigii,Enterobacter ludwigii,Exact match
205,93973,Shewanella pacifica,Shewanella pacifica,Exact match
206,243922,Acinetobacter rhizosphaerae,Acinetobacter rhizosphaerae,Exact match
207,283686,Enterobacter radicincitans,Enterobacter radicincitans,Exact match
208,351677,Xenorhabdus romanii,Xenorhabdus romanii,Exact match
209,885,Desulfovibrio C21_c20,Desulfovibrio sp.,Not exact match
210,908285,Necropsobacter rosorum,Necropsobacter rosorum,Exact match
211,39441,Methanobrevibacter arboriphilus,Methanobrevibacter arboriphilus,Exact match
212,680363,Kleidoceria schneideri,Kleidoceria schneideri,Exact match
213,466107,Desulfovibrio litoralis,Desulfovibrio litoralis,Exact match
214,32046,Synechococcus elongatus,Synechococcus elongatus,Exact match
215,656519,Halanaerobium hydrogeniformans,Halanaerobium hydrogeniformans,Exact match
216,1085,Rhodospirillum rubrum,Rhodospirillum rubrum,Exact match
217,34073,Variovorax paradoxus,Variovorax paradoxus,Exact match
218,428712,Jonquetella anthropi,Jonquetella anthropi,Exact match
219,204470,Alicyclobacillus pomorum,Alicyclobacillus pomorum,Exact match
220,123822,Haemophilus felis,Haemophilus felis,Exact match
221,33069,Pseudomonas viridiflava,Pseudomonas viridiflava,Exact match
222,2374,Acetonema longum,Acetonema longum,Exact match
223,511,Alcaligenes faecalis,Alcaligenes faecalis,Exact match
224,2517781,Gallibacterium genomosp.,Gallibacterium sp.,Not exact match
225,483,Neisseria cinerea,Neisseria cinerea,Exact match
226,438033,Ruminococcus gauvreauii,Ruminococcus gauvreauii,Exact match
227,590849,Nitritalea halalkaliphila,Nitritalea halalkaliphila,Exact match
228,135083,Selenomonas noxia,Selenomonas noxia,Exact match
229,137838,Clostridium neonatale,Clostridium neonatale,Exact match
230,391953,Aquincola tertiaricarbonis,Aquincola tertiaricarbonis,Exact match
231,727,Haemophilus influenzae,Haemophilus influenzae,Exact match
232,1310,Streptococcus sobrinus,Streptococcus sobrinus,Exact match
