,Sample combination,Jaccard_similarity_value
184,"(4, 39)",0.02
185,"(5, 6)",0.02
186,"(5, 7)",0.01
187,"(5, 8)",0.03
188,"(5, 9)",0.03
189,"(5, 10)",0.01
190,"(5, 11)",0.01
191,"(5, 12)",0.02
192,"(5, 13)",0.0
193,"(5, 14)",0.01
194,"(5, 15)",0.01
195,"(5, 16)",0.02
196,"(5, 17)",0.02
197,"(5, 18)",0.01
198,"(5, 19)",0.01
199,"(5, 20)",0.01
200,"(5, 21)",0.01
201,"(5, 22)",0.01
202,"(5, 23)",0.03
203,"(5, 24)",0.02
204,"(5, 25)",0.02
205,"(5, 26)",0.03
206,"(5, 27)",0.01
207,"(5, 28)",0.03
208,"(5, 29)",0.02
209,"(5, 30)",0.03
210,"(5, 31)",0.03
211,"(5, 32)",0.03
212,"(5, 33)",0.02
213,"(5, 34)",0.02
214,"(5, 35)",0.01
215,"(5, 36)",0.03
216,"(5, 37)",0.02
217,"(5, 38)",0.01
218,"(5, 39)",0.0
219,"(6, 7)",0.01
220,"(6, 8)",0.01
221,"(6, 9)",0.03
222,"(6, 10)",0.01
223,"(6, 11)",0.01
224,"(6, 12)",0.02
225,"(6, 13)",0.02
226,"(6, 14)",0.01
227,"(6, 15)",0.01
228,"(6, 16)",0.02
229,"(6, 17)",0.02
230,"(6, 18)",0.03
231,"(6, 19)",0.03
232,"(6, 20)",0.01
233,"(6, 21)",0.03
234,"(6, 22)",0.03
235,"(6, 23)",0.03
236,"(6, 24)",0.03
237,"(6, 25)",0.03
238,"(6, 26)",0.03
239,"(6, 27)",0.01
240,"(6, 28)",0.03
241,"(6, 29)",0.02
242,"(6, 30)",0.03
243,"(6, 31)",0.03
244,"(6, 32)",0.03
245,"(6, 33)",0.02
246,"(6, 34)",0.02
247,"(6, 35)",0.03
248,"(6, 36)",0.03
249,"(6, 37)",0.0
250,"(6, 38)",0.01
251,"(6, 39)",0.02
252,"(7, 8)",0.02
253,"(7, 9)",0.02
254,"(7, 10)",0.0
255,"(7, 11)",0.0
256,"(7, 12)",0.01
257,"(7, 13)",0.01
258,"(7, 14)",0.0
259,"(7, 15)",0.0
260,"(7, 16)",0.01
261,"(7, 17)",0.01
262,"(7, 18)",0.02
263,"(7, 19)",0.02
264,"(7, 20)",0.02
265,"(7, 21)",0.02
266,"(7, 22)",0.02
267,"(7, 23)",0.03
268,"(7, 24)",0.03
269,"(7, 25)",0.03
270,"(7, 26)",0.03
271,"(7, 27)",0.0
272,"(7, 28)",0.02
273,"(7, 29)",0.01
274,"(7, 30)",0.02
275,"(7, 31)",0.02
276,"(7, 32)",0.02
277,"(7, 33)",0.01
278,"(7, 34)",0.03
279,"(7, 35)",0.02
280,"(7, 36)",0.02
281,"(7, 37)",0.01
282,"(7, 38)",0.0
283,"(7, 39)",0.01
284,"(8, 9)",0.02
285,"(8, 10)",0.02
286,"(8, 11)",0.02
287,"(8, 12)",0.01
288,"(8, 13)",0.03
289,"(8, 14)",0.02
290,"(8, 15)",0.02
291,"(8, 16)",0.03
292,"(8, 17)",0.03
293,"(8, 18)",0.02
294,"(8, 19)",0.03
295,"(8, 20)",0.02
296,"(8, 21)",0.03
297,"(8, 22)",0.03
298,"(8, 23)",0.02
299,"(8, 24)",0.03
300,"(8, 25)",0.03
301,"(8, 26)",0.02
302,"(8, 27)",0.02
303,"(8, 28)",0.02
304,"(8, 29)",0.01
305,"(8, 30)",0.02
306,"(8, 31)",0.02
307,"(8, 32)",0.02
308,"(8, 33)",0.01
309,"(8, 34)",0.03
310,"(8, 35)",0.02
311,"(8, 36)",0.02
312,"(8, 37)",0.01
313,"(8, 38)",0.02
314,"(8, 39)",0.03
315,"(9, 10)",0.02
316,"(9, 11)",0.02
317,"(9, 12)",0.01
318,"(9, 13)",0.03
319,"(9, 14)",0.02
320,"(9, 15)",0.02
321,"(9, 16)",0.01
322,"(9, 17)",0.01
323,"(9, 18)",0.02
324,"(9, 19)",0.02
325,"(9, 20)",0.03
326,"(9, 21)",0.02
327,"(9, 22)",0.03
328,"(9, 23)",0.02
329,"(9, 24)",0.01
330,"(9, 25)",0.01
331,"(9, 26)",0.02
332,"(9, 27)",0.02
333,"(9, 28)",0.0
334,"(9, 29)",0.01
335,"(9, 30)",0.0
336,"(9, 31)",0.0
337,"(9, 32)",0.02
338,"(9, 33)",0.01
339,"(9, 34)",0.03
340,"(9, 35)",0.02
341,"(9, 36)",0.0
342,"(9, 37)",0.03
343,"(9, 38)",0.02
344,"(9, 39)",0.03
345,"(10, 11)",0.0
346,"(10, 12)",0.01
347,"(10, 13)",0.01
348,"(10, 14)",0.0
349,"(10, 15)",0.0
350,"(10, 16)",0.01
351,"(10, 17)",0.01
352,"(10, 18)",0.02
353,"(10, 19)",0.02
354,"(10, 20)",0.02
355,"(10, 21)",0.02
356,"(10, 22)",0.02
357,"(10, 23)",0.03
358,"(10, 24)",0.03
359,"(10, 25)",0.03
360,"(10, 26)",0.03
361,"(10, 27)",0.0
362,"(10, 28)",0.02
363,"(10, 29)",0.01
364,"(10, 30)",0.02
365,"(10, 31)",0.02
366,"(10, 32)",0.02
367,"(10, 33)",0.01
368,"(10, 34)",0.03
369,"(10, 35)",0.02
370,"(10, 36)",0.02
371,"(10, 37)",0.01
372,"(10, 38)",0.0
373,"(10, 39)",0.01
374,"(11, 12)",0.01
375,"(11, 13)",0.01
376,"(11, 14)",0.0
377,"(11, 15)",0.0
378,"(11, 16)",0.01
379,"(11, 17)",0.01
380,"(11, 18)",0.02
381,"(11, 19)",0.02
382,"(11, 20)",0.02
383,"(11, 21)",0.02
384,"(11, 22)",0.02
385,"(11, 23)",0.03
386,"(11, 24)",0.03
387,"(11, 25)",0.03
388,"(11, 26)",0.03
389,"(11, 27)",0.0
390,"(11, 28)",0.02
391,"(11, 29)",0.01
392,"(11, 30)",0.02
393,"(11, 31)",0.02
394,"(11, 32)",0.02
395,"(11, 33)",0.01
396,"(11, 34)",0.03
397,"(11, 35)",0.02
398,"(11, 36)",0.02
399,"(11, 37)",0.01
400,"(11, 38)",0.0
401,"(11, 39)",0.01
402,"(12, 13)",0.02
403,"(12, 14)",0.01
404,"(12, 15)",0.01
405,"(12, 16)",0.02
406,"(12, 17)",0.02
407,"(12, 18)",0.01
408,"(12, 19)",0.03
409,"(12, 20)",0.03
410,"(12, 21)",0.03
411,"(12, 22)",0.03
412,"(12, 23)",0.03
413,"(12, 24)",0.02
414,"(12, 25)",0.02
415,"(12, 26)",0.03
416,"(12, 27)",0.01
417,"(12, 28)",0.01
418,"(12, 29)",0.0
419,"(12, 30)",0.01
420,"(12, 31)",0.01
421,"(12, 32)",0.01
422,"(12, 33)",0.0
423,"(12, 34)",0.03
424,"(12, 35)",0.01
425,"(12, 36)",0.01
426,"(12, 37)",0.02
427,"(12, 38)",0.01
428,"(12, 39)",0.02
429,"(13, 14)",0.01
430,"(13, 15)",0.01
431,"(13, 16)",0.02
432,"(13, 17)",0.02
433,"(13, 18)",0.01
434,"(13, 19)",0.01
435,"(13, 20)",0.01
436,"(13, 21)",0.01
437,"(13, 22)",0.01
438,"(13, 23)",0.03
439,"(13, 24)",0.02
440,"(13, 25)",0.02
441,"(13, 26)",0.03
442,"(13, 27)",0.01
443,"(13, 28)",0.03
444,"(13, 29)",0.02
445,"(13, 30)",0.03
446,"(13, 31)",0.03
447,"(13, 32)",0.03
448,"(13, 33)",0.02
449,"(13, 34)",0.02
450,"(13, 35)",0.01
451,"(13, 36)",0.03
452,"(13, 37)",0.02
453,"(13, 38)",0.01
454,"(13, 39)",0.0
455,"(14, 15)",0.0
456,"(14, 16)",0.01
457,"(14, 17)",0.01
458,"(14, 18)",0.02
459,"(14, 19)",0.02
460,"(14, 20)",0.02
461,"(14, 21)",0.02
462,"(14, 22)",0.02
463,"(14, 23)",0.03
464,"(14, 24)",0.03
465,"(14, 25)",0.03
466,"(14, 26)",0.03
467,"(14, 27)",0.0
468,"(14, 28)",0.02
469,"(14, 29)",0.01
470,"(14, 30)",0.02
471,"(14, 31)",0.02
472,"(14, 32)",0.02
473,"(14, 33)",0.01
474,"(14, 34)",0.03
475,"(14, 35)",0.02
476,"(14, 36)",0.02
477,"(14, 37)",0.01
478,"(14, 38)",0.0
479,"(14, 39)",0.01
480,"(15, 16)",0.01
481,"(15, 17)",0.01
482,"(15, 18)",0.02
483,"(15, 19)",0.02
484,"(15, 20)",0.02
485,"(15, 21)",0.02
486,"(15, 22)",0.02
487,"(15, 23)",0.03
488,"(15, 24)",0.03
489,"(15, 25)",0.03
490,"(15, 26)",0.03
491,"(15, 27)",0.0
492,"(15, 28)",0.02
493,"(15, 29)",0.01
494,"(15, 30)",0.02
495,"(15, 31)",0.02
496,"(15, 32)",0.02
497,"(15, 33)",0.01
498,"(15, 34)",0.03
499,"(15, 35)",0.02
500,"(15, 36)",0.02
501,"(15, 37)",0.01
502,"(15, 38)",0.0
503,"(15, 39)",0.01
504,"(16, 17)",0.0
505,"(16, 18)",0.03
506,"(16, 19)",0.01
507,"(16, 20)",0.03
508,"(16, 21)",0.01
509,"(16, 22)",0.03
510,"(16, 23)",0.03
511,"(16, 24)",0.02
512,"(16, 25)",0.02
513,"(16, 26)",0.03
514,"(16, 27)",0.01
515,"(16, 28)",0.01
516,"(16, 29)",0.02
517,"(16, 30)",0.01
518,"(16, 31)",0.01
519,"(16, 32)",0.03
520,"(16, 33)",0.02
521,"(16, 34)",0.02
522,"(16, 35)",0.03
523,"(16, 36)",0.01
524,"(16, 37)",0.02
525,"(16, 38)",0.01
526,"(16, 39)",0.02
527,"(17, 18)",0.03
528,"(17, 19)",0.01
529,"(17, 20)",0.03
530,"(17, 21)",0.01
531,"(17, 22)",0.03
532,"(17, 23)",0.03
533,"(17, 24)",0.02
534,"(17, 25)",0.02
535,"(17, 26)",0.03
536,"(17, 27)",0.01
537,"(17, 28)",0.01
538,"(17, 29)",0.02
539,"(17, 30)",0.01
540,"(17, 31)",0.01
541,"(17, 32)",0.03
542,"(17, 33)",0.02
543,"(17, 34)",0.02
544,"(17, 35)",0.03
545,"(17, 36)",0.01
546,"(17, 37)",0.02
547,"(17, 38)",0.01
548,"(17, 39)",0.02
549,"(18, 19)",0.02
550,"(18, 20)",0.02
551,"(18, 21)",0.02
552,"(18, 22)",0.02
553,"(18, 23)",0.02
554,"(18, 24)",0.01
555,"(18, 25)",0.01
556,"(18, 26)",0.02
557,"(18, 27)",0.02
558,"(18, 28)",0.02
559,"(18, 29)",0.01
560,"(18, 30)",0.02
561,"(18, 31)",0.02
562,"(18, 32)",0.02
563,"(18, 33)",0.01
564,"(18, 34)",0.03
565,"(18, 35)",0.0
566,"(18, 36)",0.02
567,"(18, 37)",0.03
568,"(18, 38)",0.02
569,"(18, 39)",0.01
570,"(19, 20)",0.02
571,"(19, 21)",0.0
572,"(19, 22)",0.02
573,"(19, 23)",0.02
574,"(19, 24)",0.01
575,"(19, 25)",0.01
576,"(19, 26)",0.02
577,"(19, 27)",0.02
578,"(19, 28)",0.02
579,"(19, 29)",0.03
580,"(19, 30)",0.02
581,"(19, 31)",0.02
582,"(19, 32)",0.03
583,"(19, 33)",0.03
584,"(19, 34)",0.01
585,"(19, 35)",0.02
586,"(19, 36)",0.02
587,"(19, 37)",0.03
588,"(19, 38)",0.02
589,"(19, 39)",0.01
590,"(20, 21)",0.02
591,"(20, 22)",0.02
592,"(20, 23)",0.02
593,"(20, 24)",0.03
594,"(20, 25)",0.03
595,"(20, 26)",0.02
596,"(20, 27)",0.02
597,"(20, 28)",0.03
598,"(20, 29)",0.03
599,"(20, 30)",0.03
600,"(20, 31)",0.03
601,"(20, 32)",0.03
602,"(20, 33)",0.03
603,"(20, 34)",0.01
604,"(20, 35)",0.02
605,"(20, 36)",0.03
606,"(20, 37)",0.01
607,"(20, 38)",0.02
608,"(20, 39)",0.01
609,"(21, 22)",0.02
610,"(21, 23)",0.02
611,"(21, 24)",0.01
612,"(21, 25)",0.01
613,"(21, 26)",0.02
614,"(21, 27)",0.02
615,"(21, 28)",0.02
616,"(21, 29)",0.03
617,"(21, 30)",0.02
618,"(21, 31)",0.02
619,"(21, 32)",0.03
620,"(21, 33)",0.03
621,"(21, 34)",0.01
622,"(21, 35)",0.02
623,"(21, 36)",0.02
624,"(21, 37)",0.03
625,"(21, 38)",0.02
626,"(21, 39)",0.01
627,"(22, 23)",0.03
628,"(22, 24)",0.03
629,"(22, 25)",0.03
630,"(22, 26)",0.03
631,"(22, 27)",0.02
632,"(22, 28)",0.03
633,"(22, 29)",0.03
634,"(22, 30)",0.03
635,"(22, 31)",0.03
636,"(22, 32)",0.02
637,"(22, 33)",0.03
638,"(22, 34)",0.03
639,"(22, 35)",0.02
640,"(22, 36)",0.03
641,"(22, 37)",0.03
642,"(22, 38)",0.02
643,"(22, 39)",0.01
644,"(23, 24)",0.01
645,"(23, 25)",0.01
646,"(23, 26)",0.0
647,"(23, 27)",0.03
648,"(23, 28)",0.02
649,"(23, 29)",0.03
650,"(23, 30)",0.02
651,"(23, 31)",0.02
652,"(23, 32)",0.03
653,"(23, 33)",0.03
654,"(23, 34)",0.01
655,"(23, 35)",0.02
656,"(23, 36)",0.02
657,"(23, 37)",0.03
658,"(23, 38)",0.03
659,"(23, 39)",0.03
660,"(24, 25)",0.0
661,"(24, 26)",0.01
662,"(24, 27)",0.03
663,"(24, 28)",0.01
664,"(24, 29)",0.02
665,"(24, 30)",0.01
666,"(24, 31)",0.01
667,"(24, 32)",0.03
668,"(24, 33)",0.02
669,"(24, 34)",0.02
670,"(24, 35)",0.01
671,"(24, 36)",0.01
672,"(24, 37)",0.03
673,"(24, 38)",0.03
674,"(24, 39)",0.02
675,"(25, 26)",0.01
676,"(25, 27)",0.03
677,"(25, 28)",0.01
678,"(25, 29)",0.02
679,"(25, 30)",0.01
680,"(25, 31)",0.01
681,"(25, 32)",0.03
682,"(25, 33)",0.02
683,"(25, 34)",0.02
684,"(25, 35)",0.01
685,"(25, 36)",0.01
686,"(25, 37)",0.03
687,"(25, 38)",0.03
688,"(25, 39)",0.02
689,"(26, 27)",0.03
690,"(26, 28)",0.02
691,"(26, 29)",0.03
692,"(26, 30)",0.02
693,"(26, 31)",0.02
694,"(26, 32)",0.03
695,"(26, 33)",0.03
696,"(26, 34)",0.01
697,"(26, 35)",0.02
698,"(26, 36)",0.02
699,"(26, 37)",0.03
700,"(26, 38)",0.03
701,"(26, 39)",0.03
702,"(27, 28)",0.02
703,"(27, 29)",0.01
704,"(27, 30)",0.02
705,"(27, 31)",0.02
706,"(27, 32)",0.02
707,"(27, 33)",0.01
708,"(27, 34)",0.03
709,"(27, 35)",0.02
710,"(27, 36)",0.02
711,"(27, 37)",0.01
712,"(27, 38)",0.0
713,"(27, 39)",0.01
714,"(28, 29)",0.01
715,"(28, 30)",0.0
716,"(28, 31)",0.0
717,"(28, 32)",0.02
718,"(28, 33)",0.01
719,"(28, 34)",0.03
720,"(28, 35)",0.02
721,"(28, 36)",0.0
722,"(28, 37)",0.03
723,"(28, 38)",0.02
724,"(28, 39)",0.03
725,"(29, 30)",0.01
726,"(29, 31)",0.01
727,"(29, 32)",0.01
728,"(29, 33)",0.0
729,"(29, 34)",0.03
730,"(29, 35)",0.01
731,"(29, 36)",0.01
732,"(29, 37)",0.02
733,"(29, 38)",0.01
734,"(29, 39)",0.02
735,"(30, 31)",0.0
736,"(30, 32)",0.02
737,"(30, 33)",0.01
738,"(30, 34)",0.03
739,"(30, 35)",0.02
740,"(30, 36)",0.0
741,"(30, 37)",0.03
742,"(30, 38)",0.02
743,"(30, 39)",0.03
744,"(31, 32)",0.02
745,"(31, 33)",0.01
746,"(31, 34)",0.03
747,"(31, 35)",0.02
748,"(31, 36)",0.0
749,"(31, 37)",0.03
750,"(31, 38)",0.02
751,"(31, 39)",0.03
752,"(32, 33)",0.01
753,"(32, 34)",0.04
754,"(32, 35)",0.02
755,"(32, 36)",0.02
756,"(32, 37)",0.03
757,"(32, 38)",0.02
758,"(32, 39)",0.03
759,"(33, 34)",0.03
760,"(33, 35)",0.01
761,"(33, 36)",0.01
762,"(33, 37)",0.02
763,"(33, 38)",0.01
764,"(33, 39)",0.02
765,"(34, 35)",0.03
766,"(34, 36)",0.03
767,"(34, 37)",0.02
768,"(34, 38)",0.03
769,"(34, 39)",0.02
770,"(35, 36)",0.02
771,"(35, 37)",0.03
772,"(35, 38)",0.02
773,"(35, 39)",0.01
774,"(36, 37)",0.03
775,"(36, 38)",0.02
776,"(36, 39)",0.03
777,"(37, 38)",0.01
778,"(37, 39)",0.02
779,"(38, 39)",0.01
